category	ID	term	count	gene	logFC	adj_pval	magma_score
GOBP	GOBP_REGULATION_OF_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS	GOBP_REGULATION_OF_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS	177	ENSRNOG00000010838/ENSRNOG00000004110/ENSRNOG00000020878/ENSRNOG00000019325/ENSRNOG00000034242/ENSRNOG00000028504/ENSRNOG00000003864/ENSRNOG00000019282/ENSRNOG00000003026/ENSRNOG00000006469/ENSRNOG00000017795/ENSRNOG00000015308/ENSRNOG00000006302/ENSRNOG00000012026/ENSRNOG00000028415/ENSRNOG00000051669/ENSRNOG00000009683/ENSRNOG00000066088/ENSRNOG00000014218/ENSRNOG00000018359/ENSRNOG00000000123/ENSRNOG00000002516/ENSRNOG00000020102/ENSRNOG00000019390/ENSRNOG00000058841/ENSRNOG00000015206/ENSRNOG00000016967/ENSRNOG00000039593/ENSRNOG00000019425/ENSRNOG00000019891/ENSRNOG00000019933/ENSRNOG00000055226/ENSRNOG00000032917/ENSRNOG00000028629/ENSRNOG00000011414/ENSRNOG00000031827/ENSRNOG00000037137/ENSRNOG00000004814/ENSRNOG00000019506/ENSRNOG00000055756/ENSRNOG00000019246/ENSRNOG00000039417/ENSRNOG00000013023/ENSRNOG00000020417/ENSRNOG00000016460/ENSRNOG00000052620/ENSRNOG00000013358/ENSRNOG00000014230/ENSRNOG00000028930/ENSRNOG00000068183/ENSRNOG00000019666/ENSRNOG00000004100/ENSRNOG00000018289/ENSRNOG00000018796/ENSRNOG00000018515/ENSRNOG00000001548/ENSRNOG00000025239/ENSRNOG00000017417/ENSRNOG00000016103/ENSRNOG00000026260/ENSRNOG00000019041/ENSRNOG00000004252/ENSRNOG00000001235/ENSRNOG00000010038/ENSRNOG00000039848/ENSRNOG00000005577/ENSRNOG00000013578/ENSRNOG00000018454/ENSRNOG00000015385/ENSRNOG00000003951/ENSRNOG00000018780/ENSRNOG00000048812/ENSRNOG00000056836	-146,015,697,296,675	0.030911825	0.0007401
GOBP	GOBP_MALE_GAMETE_GENERATION	GOBP_MALE_GAMETE_GENERATION	413	ENSRNOG00000022711/ENSRNOG00000006114/ENSRNOG00000013807/ENSRNOG00000026171/ENSRNOG00000026649/ENSRNOG00000002073/ENSRNOG00000058275/ENSRNOG00000011932/ENSRNOG00000032183/ENSRNOG00000057867/ENSRNOG00000056996/ENSRNOG00000025787/ENSRNOG00000058681/ENSRNOG00000014584/ENSRNOG00000026226/ENSRNOG00000060693/ENSRNOG00000009000/ENSRNOG00000015143/ENSRNOG00000029012/ENSRNOG00000024494/ENSRNOG00000025286/ENSRNOG00000015813/ENSRNOG00000032101/ENSRNOG00000017838/ENSRNOG00000020118/ENSRNOG00000014739/ENSRNOG00000002793/ENSRNOG00000054475/ENSRNOG00000068261/ENSRNOG00000007942/ENSRNOG00000015137/ENSRNOG00000010241/ENSRNOG00000066988/ENSRNOG00000008775/ENSRNOG00000059348/ENSRNOG00000014448/ENSRNOG00000047436/ENSRNOG00000025596/ENSRNOG00000053023/ENSRNOG00000023794/ENSRNOG00000048919/ENSRNOG00000026217/ENSRNOG00000002976/ENSRNOG00000016645/ENSRNOG00000063175/ENSRNOG00000061040/ENSRNOG00000016835/ENSRNOG00000048506/ENSRNOG00000060401/ENSRNOG00000021800/ENSRNOG00000017399/ENSRNOG00000013111/ENSRNOG00000060340/ENSRNOG00000007960/ENSRNOG00000034089/ENSRNOG00000017117/ENSRNOG00000012964/ENSRNOG00000011785/ENSRNOG00000025860/ENSRNOG00000039241/ENSRNOG00000005334/ENSRNOG00000070409/ENSRNOG00000003273/ENSRNOG00000042259/ENSRNOG00000005727/ENSRNOG00000015250/ENSRNOG00000025378/ENSRNOG00000015825/ENSRNOG00000045585/ENSRNOG00000010141/ENSRNOG00000032085/ENSRNOG00000003695/ENSRNOG00000016029/ENSRNOG00000020875/ENSRNOG00000045846/ENSRNOG00000002175/ENSRNOG00000012358/ENSRNOG00000006792/ENSRNOG00000014599/ENSRNOG00000000565/ENSRNOG00000048818/ENSRNOG00000026596/ENSRNOG00000042781/ENSRNOG00000015101/ENSRNOG00000014478/ENSRNOG00000039315/ENSRNOG00000027617/ENSRNOG00000016812/ENSRNOG00000032539/ENSRNOG00000004048/ENSRNOG00000061690/ENSRNOG00000057862/ENSRNOG00000001299/ENSRNOG00000061484/ENSRNOG00000015756/ENSRNOG00000020450/ENSRNOG00000025796/ENSRNOG00000006661/ENSRNOG00000014518/ENSRNOG00000028872/ENSRNOG00000039234/ENSRNOG00000007100/ENSRNOG00000050562/ENSRNOG00000025702/ENSRNOG00000049596/ENSRNOG00000004534/ENSRNOG00000025473/ENSRNOG00000019934/ENSRNOG00000018954/ENSRNOG00000007568/ENSRNOG00000007814/ENSRNOG00000002691/ENSRNOG00000016134/ENSRNOG00000032378/ENSRNOG00000019020/ENSRNOG00000017462/ENSRNOG00000011933/ENSRNOG00000009061/ENSRNOG00000067070/ENSRNOG00000023064/ENSRNOG00000011931/ENSRNOG00000029773/ENSRNOG00000010624/ENSRNOG00000004075/ENSRNOG00000016708/ENSRNOG00000048056/ENSRNOG00000005012/ENSRNOG00000054379/ENSRNOG00000052199/ENSRNOG00000013195/ENSRNOG00000047171/ENSRNOG00000059997/ENSRNOG00000018778/ENSRNOG00000019992/ENSRNOG00000003275/ENSRNOG00000001996/ENSRNOG00000051592/ENSRNOG00000055779/ENSRNOG00000049223	162,301,510,105,251	0.000277475	0.00089846
GOBP	GOBP_B_CELL_DIFFERENTIATION	GOBP_B_CELL_DIFFERENTIATION	100	ENSRNOG00000039980/ENSRNOG00000011096/ENSRNOG00000000485/ENSRNOG00000059984/ENSRNOG00000005067/ENSRNOG00000002365/ENSRNOG00000010278/ENSRNOG00000017869/ENSRNOG00000013967/ENSRNOG00000007237/ENSRNOG00000008736/ENSRNOG00000021144/ENSRNOG00000000655/ENSRNOG00000011500/ENSRNOG00000046452/ENSRNOG00000058646/ENSRNOG00000009884/ENSRNOG00000008133/ENSRNOG00000014464/ENSRNOG00000052407/ENSRNOG00000017020/ENSRNOG00000014294/ENSRNOG00000067317/ENSRNOG00000001452/ENSRNOG00000014333/ENSRNOG00000017783/ENSRNOG00000010966/ENSRNOG00000002950/ENSRNOG00000036829/ENSRNOG00000016595	-165,602,346,044,413	0.007860868	0.00091401
GOMF	GOMF_MHC_CLASS_II_PROTEIN_COMPLEX_BINDING	GOMF_MHC_CLASS_II_PROTEIN_COMPLEX_BINDING	12	ENSRNOG00000066773/ENSRNOG00000017123/ENSRNOG00000049491/ENSRNOG00000033215/ENSRNOG00000018735	-203,566,078,638,791	0.009334617	0.0012551
GOBP	GOBP_POSITIVE_REGULATION_OF_PROTEOLYSIS	GOBP_POSITIVE_REGULATION_OF_PROTEOLYSIS	322	ENSRNOG00000003170/ENSRNOG00000015365/ENSRNOG00000039593/ENSRNOG00000017895/ENSRNOG00000008400/ENSRNOG00000016516/ENSRNOG00000006557/ENSRNOG00000019891/ENSRNOG00000009266/ENSRNOG00000055226/ENSRNOG00000032917/ENSRNOG00000028629/ENSRNOG00000010747/ENSRNOG00000011414/ENSRNOG00000031827/ENSRNOG00000004814/ENSRNOG00000054963/ENSRNOG00000019506/ENSRNOG00000055756/ENSRNOG00000019246/ENSRNOG00000012868/ENSRNOG00000039417/ENSRNOG00000000485/ENSRNOG00000008134/ENSRNOG00000016575/ENSRNOG00000009131/ENSRNOG00000047035/ENSRNOG00000005355/ENSRNOG00000043007/ENSRNOG00000049179/ENSRNOG00000019742/ENSRNOG00000013023/ENSRNOG00000017418/ENSRNOG00000020417/ENSRNOG00000020602/ENSRNOG00000008987/ENSRNOG00000016460/ENSRNOG00000014137/ENSRNOG00000011483/ENSRNOG00000052620/ENSRNOG00000009495/ENSRNOG00000007089/ENSRNOG00000012681/ENSRNOG00000039698/ENSRNOG00000008180/ENSRNOG00000028930/ENSRNOG00000010362/ENSRNOG00000068183/ENSRNOG00000010370/ENSRNOG00000004100/ENSRNOG00000014288/ENSRNOG00000050519/ENSRNOG00000018796/ENSRNOG00000016551/ENSRNOG00000018515/ENSRNOG00000001548/ENSRNOG00000018416/ENSRNOG00000033434/ENSRNOG00000017417/ENSRNOG00000016103/ENSRNOG00000005810/ENSRNOG00000020941/ENSRNOG00000015477/ENSRNOG00000020206/ENSRNOG00000006818/ENSRNOG00000007081/ENSRNOG00000001448/ENSRNOG00000016496/ENSRNOG00000019041/ENSRNOG00000002074/ENSRNOG00000010038/ENSRNOG00000033697/ENSRNOG00000067968/ENSRNOG00000000569/ENSRNOG00000046848/ENSRNOG00000023143/ENSRNOG00000013578/ENSRNOG00000018454/ENSRNOG00000015385/ENSRNOG00000001420/ENSRNOG00000047545/ENSRNOG00000003951/ENSRNOG00000018780/ENSRNOG00000025001/ENSRNOG00000019675/ENSRNOG00000056836/ENSRNOG00000011054/ENSRNOG00000007637/ENSRNOG00000014064/ENSRNOG00000011800/ENSRNOG00000054251/ENSRNOG00000015036/ENSRNOG00000014350	-16,883,261,274,943	0.000113484	0.0013301
GOBP	GOBP_MOTILE_CILIUM_ASSEMBLY	GOBP_MOTILE_CILIUM_ASSEMBLY	40	ENSRNOG00000006114/ENSRNOG00000011440/ENSRNOG00000010556/ENSRNOG00000058275/ENSRNOG00000057867/ENSRNOG00000007127/ENSRNOG00000056996/ENSRNOG00000025787/ENSRNOG00000059715/ENSRNOG00000054475/ENSRNOG00000059348/ENSRNOG00000026217/ENSRNOG00000019474/ENSRNOG00000038600/ENSRNOG00000025860/ENSRNOG00000015590/ENSRNOG00000021602/ENSRNOG00000010141/ENSRNOG00000039315/ENSRNOG00000005233/ENSRNOG00000008635/ENSRNOG00000059401/ENSRNOG00000049596/ENSRNOG00000011376/ENSRNOG00000007568/ENSRNOG00000019020/ENSRNOG00000009061	244,129,383,248,563	4,17E+07	0.0015598
GOBP	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II	17	ENSRNOG00000019708/ENSRNOG00000007089/ENSRNOG00000066773/ENSRNOG00000017123/ENSRNOG00000046452/ENSRNOG00000020206/ENSRNOG00000006963/ENSRNOG00000019387/ENSRNOG00000049491/ENSRNOG00000033215/ENSRNOG00000018735/ENSRNOG00000018566/ENSRNOG00000021157	-240,002,960,486,599	5,38E+08	0.0017479
KEGG	KEGG_TIGHT_JUNCTION	KEGG_TIGHT_JUNCTION	111	ENSRNOG00000070099/ENSRNOG00000012061/ENSRNOG00000020433/ENSRNOG00000003948/ENSRNOG00000023079/ENSRNOG00000010085/ENSRNOG00000004834/ENSRNOG00000018677/ENSRNOG00000016983/ENSRNOG00000010263/ENSRNOG00000015278/ENSRNOG00000037227/ENSRNOG00000054172/ENSRNOG00000005276/ENSRNOG00000011282/ENSRNOG00000028629/ENSRNOG00000015480/ENSRNOG00000012346/ENSRNOG00000034254/ENSRNOG00000007922/ENSRNOG00000001515/ENSRNOG00000000847/ENSRNOG00000057880/ENSRNOG00000025757/ENSRNOG00000014060/ENSRNOG00000009495/ENSRNOG00000055157/ENSRNOG00000057817/ENSRNOG00000016592/ENSRNOG00000038881/ENSRNOG00000005796/ENSRNOG00000015182/ENSRNOG00000050071/ENSRNOG00000016346/ENSRNOG00000050519/ENSRNOG00000058202/ENSRNOG00000016611/ENSRNOG00000015030/ENSRNOG00000019057/ENSRNOG00000042848/ENSRNOG00000020246/ENSRNOG00000037247/ENSRNOG00000068010/ENSRNOG00000020014/ENSRNOG00000004414/ENSRNOG00000016733	-161,923,370,359,952	0.008730284	0.0019765
GOBP	GOBP_MONONUCLEAR_CELL_DIFFERENTIATION	GOBP_MONONUCLEAR_CELL_DIFFERENTIATION	334	ENSRNOG00000025111/ENSRNOG00000004649/ENSRNOG00000014156/ENSRNOG00000046327/ENSRNOG00000016995/ENSRNOG00000014287/ENSRNOG00000028353/ENSRNOG00000013240/ENSRNOG00000053813/ENSRNOG00000002969/ENSRNOG00000015076/ENSRNOG00000013321/ENSRNOG00000043077/ENSRNOG00000026085/ENSRNOG00000018706/ENSRNOG00000016360/ENSRNOG00000065643/ENSRNOG00000018359/ENSRNOG00000058586/ENSRNOG00000001250/ENSRNOG00000023664/ENSRNOG00000024277/ENSRNOG00000054172/ENSRNOG00000003992/ENSRNOG00000010283/ENSRNOG00000060694/ENSRNOG00000003170/ENSRNOG00000001704/ENSRNOG00000054954/ENSRNOG00000003716/ENSRNOG00000016313/ENSRNOG00000014395/ENSRNOG00000006392/ENSRNOG00000003520/ENSRNOG00000000299/ENSRNOG00000015480/ENSRNOG00000006952/ENSRNOG00000058422/ENSRNOG00000039980/ENSRNOG00000020465/ENSRNOG00000021082/ENSRNOG00000011096/ENSRNOG00000000485/ENSRNOG00000009427/ENSRNOG00000009131/ENSRNOG00000047035/ENSRNOG00000027811/ENSRNOG00000059984/ENSRNOG00000006860/ENSRNOG00000005067/ENSRNOG00000002365/ENSRNOG00000019614/ENSRNOG00000018255/ENSRNOG00000019742/ENSRNOG00000065264/ENSRNOG00000010278/ENSRNOG00000038877/ENSRNOG00000017869/ENSRNOG00000016451/ENSRNOG00000013967/ENSRNOG00000004409/ENSRNOG00000007237/ENSRNOG00000012681/ENSRNOG00000008180/ENSRNOG00000016119/ENSRNOG00000007663/ENSRNOG00000059073/ENSRNOG00000021528/ENSRNOG00000016069/ENSRNOG00000050430/ENSRNOG00000008736/ENSRNOG00000021144/ENSRNOG00000000655/ENSRNOG00000006932/ENSRNOG00000017123/ENSRNOG00000018233/ENSRNOG00000036711/ENSRNOG00000004003/ENSRNOG00000033235/ENSRNOG00000017469/ENSRNOG00000050519/ENSRNOG00000011500/ENSRNOG00000046452/ENSRNOG00000058646/ENSRNOG00000047647/ENSRNOG00000014011/ENSRNOG00000009884/ENSRNOG00000008133/ENSRNOG00000009982/ENSRNOG00000019264/ENSRNOG00000014464/ENSRNOG00000052407/ENSRNOG00000017020/ENSRNOG00000004444/ENSRNOG00000015668/ENSRNOG00000007261/ENSRNOG00000006569/ENSRNOG00000017414/ENSRNOG00000069521/ENSRNOG00000020716/ENSRNOG00000014294/ENSRNOG00000057347/ENSRNOG00000000569/ENSRNOG00000017319/ENSRNOG00000009354/ENSRNOG00000067317/ENSRNOG00000001452/ENSRNOG00000002309/ENSRNOG00000013578/ENSRNOG00000013265/ENSRNOG00000009694/ENSRNOG00000014333/ENSRNOG00000033215/ENSRNOG00000008465/ENSRNOG00000014605/ENSRNOG00000017783/ENSRNOG00000016219/ENSRNOG00000020640/ENSRNOG00000018735/ENSRNOG00000010966/ENSRNOG00000018566/ENSRNOG00000002950/ENSRNOG00000031163/ENSRNOG00000043098/ENSRNOG00000018414/ENSRNOG00000017560/ENSRNOG00000012881/ENSRNOG00000036829/ENSRNOG00000023708/ENSRNOG00000016595	-190,286,421,132,699	3,25E+07	0.0028265
GOCC	GOCC_INTRINSIC_COMPONENT_OF_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE	GOCC_INTRINSIC_COMPONENT_OF_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE	74	ENSRNOG00000011803/ENSRNOG00000033099/ENSRNOG00000029012/ENSRNOG00000063400/ENSRNOG00000006174/ENSRNOG00000045816/ENSRNOG00000065255/ENSRNOG00000014686/ENSRNOG00000005550/ENSRNOG00000042478/ENSRNOG00000014006/ENSRNOG00000032576/ENSRNOG00000055499/ENSRNOG00000002349/ENSRNOG00000064362/ENSRNOG00000014248/ENSRNOG00000010406/ENSRNOG00000004067/ENSRNOG00000043085/ENSRNOG00000026466/ENSRNOG00000002336/ENSRNOG00000005723/ENSRNOG00000013389/ENSRNOG00000016877/ENSRNOG00000001873/ENSRNOG00000009029/ENSRNOG00000028832/ENSRNOG00000067416/ENSRNOG00000020310	155,511,875,453,592	0.04341137	0.0030358
